Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,32,141,51,88,31,117,74,151,72,175
2,6,15,12,2,18,8,5,1,7,4
3,54,201,88,105,171,51,53,202,33,214
4,141,1,61,118,32,51,18,21,31,74
5,171,32,88,156,117,33,105,132,95,51
6,114,174,51,201,88,139,32,123,206,134
7,171,169,33,201,132,193,51,189,88,105
8,83,32,141,21,179,125,161,1,11,18
9,47,181,131,32,179,141,11,175,18,161
10,33,171,88,51,201,95,105,202,117,153
11,171,33,54,193,114,201,88,189,89,132
12,21,38,18,91,141,11,161,1,181,188
13,51,157,138,172,127,114,194,169,49,32
14,38,21,11,141,118,1,181,18,108,188
15,171,54,169,95,88,116,123,156,89,105
16,51,114,55,175,195,24,138,206,125,64
17,114,45,131,155,121,63,96,76,216,202
18,11,18,141,91,181,188,161,151,52,55
19,188,21,1,179,141,203,161,18,11,55
20,175,141,1,203,5,108,21,12,179,151
21,171,114,33,54,12,95,202,68,123,214
